,STOCK,CURRPRICE
0,opnt,13.37
1,flic,24.23
2,grvy,37.67
3,cstr,16.51
4,mygn,29.3
5,jmu,0.98
6,kelya,22.45
7,axas,0.34
8,vrsk,160.86
9,dhc,8.77
10,ctrm,1.84
11,feye,17.42
12,rbcaa,46.16
13,avt,42.29
14,yvr,1.82
15,irix,3.41
16,bsmq,25.31
17,ancn,1.47
18,nlnk,1.99
19,txrh,57.13
20,mnro,76.6
21,jasn,0.19
22,cizn,21.51
23,usau,0.9
24,tffp,5.2
25,brkr,54.14
26,mric,5.88
27,cmct,14.62
28,clct,24.43
29,fuv,1.64
30,pdlb,14.69
31,tgen,2.14
32,pdd,39.84
33,fat,4.65
34,imkta,43.31
35,emxc,52.22
36,yrcw,3.21
37,sivb,253.18
38,grsh,10.86
39,coll,23.92
40,mogo,2.85
41,dmrc,36.1
42,act,25.84
43,sfst,42.69
44,stxb,22.76
45,fult,17.6
46,fele,60.44
47,jbht,114.57
48,ofix,47.75
49,achn,6.25
50,cbrl,160
51,odfl,206.94
52,zlab,51.79
53,tkks,10.21
54,orgo,5.37
55,ctso,4.7
56,cnxn,53.19
57,zyxi,10.72
58,sncr,5.94
59,lscc,21.51
60,aezs,1.05
61,hcci,30.31
62,ibkcp,27.88
63,mchp,109.08
64,rnlc,25.48
65,nhtc,5.29
66,czr,13.75
67,anss,269.2
68,ubsi,38.33
69,thbru,10.6
70,clrg,27.45
71,gaia,8.89
72,marps,2.05
73,bcml,22.7
74,fund,7.47
75,asmb,17.92
76,fmnb,16.25
77,mlnx,119.9
78,sxtc,0.94
79,pnfp,63.6
80,has,104.38
81,aehr,1.92
82,hcacu,10.9
83,rdvt,20.33
84,ent,0.47
85,sspku,10.18
86,fivn,73.97
87,ortx,15.02
88,pdp,67.18
89,ahpi,1.64
90,tast,5.6
91,achv,0.63
92,ftxn,16.11
93,jack,80.48
94,ueps,3.74
95,grpn,2.9
96,xtlb,1.26
97,jagx,0.83
98,ophc,2.86
99,acamu,10.32
100,psl,75.84
101,cbfv,30.07
102,mntx,5.76
103,lbrda,129.14
104,qfin,9.1
105,spro,9.14
106,titn,14.11
107,ssnt,3.29
108,atnx,15.57
109,ltrx,3.76
110,mmlp,4.71
111,ktcc,6.67
112,siri,7.21
113,dtea,1.57
114,lone,2.25
115,agen,3.89
116,sfbs,37.47
117,avgo,308.66
118,hurc,33.67
119,redu,7.15
120,thrm,48.08
121,sny,51.28
122,qbak,5.85
123,wprt,2.75
124,angi,9.36
125,intc,59.98
126,usws,1.88
127,asnd,140.15
128,imxi,12.41
129,oesx,4.3
130,pvac,29.16
131,spwr,8.87
132,mdjh,3
133,urgn,34.86
134,sigi,68.37
135,icmb,7.04
136,gsbc,63.27
137,form,27.29
138,jsml,48.17
139,gsm,1.06
140,qcrh,42.96
141,ulbi,7.33
142,ecol,55.09
143,lcut,7.37
144,kgji,1.99
145,vktx,7.44
146,trmb,44.04
147,nick,8.45
148,xlnx,101.89
149,umrx,0.95
150,plya,7.57
151,kalv,17.89
152,nwfl,37.98
153,expo,72.88
154,poai,3.3
155,mict,1.25
156,stnd,30.65
157,sckt,1.71
158,fate,24.68
159,infn,8.27
160,gvp,1.8
161,ziop,5
162,bnft,21.11
163,veco,16.56
164,qure,66.65
165,mosy,1.92
166,wen,21.55
167,lsxmb,48.6
168,vets,33.07
169,batra,29.99
170,jcom,103.84
171,wrls,10.05
172,avro,20.95
173,omab,64.18
174,sava,8.5
175,splk,161.49
176,icui,189.02
177,prpo,2.11
178,nmrk,12.23
179,merc,12.89
180,auto,2.4
181,rndm,52.85
182,fllcu,10.12
183,smbk,23.63
184,mgnx,11.66
185,ftag,23.57
