DATE,PRICE,MA,CROSS
1971-02-05,100.0,0.0,0
1971-02-08,100.839996,0.0,0
1971-02-09,100.760002,0.0,0
1971-02-10,100.690002,0.0,0
1971-02-11,101.449997,0.0,0
1971-02-12,102.050003,0.0,0
1971-02-16,102.190002,0.0,0
1971-02-17,101.739998,0.0,0
1971-02-18,101.41999799999999,0.0,0
1971-02-19,100.699997,0.0,0
1971-02-22,99.68,0.0,0
1971-02-23,99.720001,0.0,0
1971-02-24,100.639999,0.0,0
1971-02-25,101.230003,0.0,0
1971-02-26,101.339996,0.0,0
1971-03-01,101.779999,0.0,0
1971-03-02,101.839996,0.0,0
1971-03-03,102.07,0.0,0
1971-03-04,102.779999,0.0,0
1971-03-05,103.0,0.0,0
1971-03-08,104.230003,0.0,0
1971-03-09,104.410004,0.0,0
1971-03-10,104.139999,0.0,0
1971-03-11,104.260002,0.0,0
1971-03-12,104.5,0.0,0
1971-03-15,105.129997,0.0,0
1971-03-16,105.559998,0.0,0
1971-03-17,105.5,0.0,0
1971-03-18,105.879997,0.0,0
1971-03-19,105.769997,0.0,0
1971-03-22,105.370003,0.0,0
1971-03-23,105.110001,0.0,0
1971-03-24,104.699997,0.0,0
1971-03-25,104.599998,0.0,0
1971-03-26,105.07,0.0,0
1971-03-29,105.199997,0.0,0
1971-03-30,105.440002,0.0,0
1971-03-31,105.970001,0.0,0
1971-04-01,106.339996,0.0,0
1971-04-02,106.860001,0.0,0
1971-04-05,107.16999799999999,0.0,0
1971-04-06,107.559998,0.0,0
1971-04-07,108.059998,0.0,0
1971-04-08,108.379997,0.0,0
1971-04-12,108.870003,0.0,0
1971-04-13,108.849998,0.0,0
1971-04-14,109.08000200000001,0.0,0
1971-04-15,109.690002,0.0,0
1971-04-16,109.959999,0.0,0
1971-04-19,110.160004,104.3548,1
1971-04-20,109.529999,104.5454,1
1971-04-21,109.519997,104.719,1
1971-04-22,109.989998,104.9036,1
1971-04-23,110.690002,105.1036,1
1971-04-26,111.129997,105.2972,1
1971-04-27,111.690002,105.49,1
1971-04-28,112.370003,105.6936,1
1971-04-29,112.459999,105.908,1
1971-04-30,112.300003,106.1256,1
1971-05-03,111.349998,106.3386,1
1971-05-04,111.769997,106.5804,1
1971-05-05,111.68,106.8196,1
1971-05-06,111.059998,107.028,1
1971-05-07,110.660004,107.2166,1
1971-05-10,110.150002,107.3928,1
1971-05-11,110.33000200000001,107.5638,1
1971-05-12,110.370003,107.7344,1
1971-05-13,110.550003,107.904,1
1971-05-14,110.739998,108.0632,1
1971-05-17,109.150002,108.1862,1
1971-05-18,108.400002,108.2696,1
1971-05-19,108.33000200000001,108.348,0
1971-05-20,108.720001,108.4396,1
1971-05-21,108.849998,108.5314,1
1971-05-24,108.41999799999999,108.6098,0
1971-05-25,107.5,108.6572,0
1971-05-26,107.529999,108.6966,0
1971-05-27,107.599998,108.7386,0
1971-05-28,108.25,108.786,0
1971-06-01,108.870003,108.848,1
1971-06-02,109.559998,108.9318,1
1971-06-03,110.220001,109.034,1
1971-06-04,110.660004,109.1532,1
1971-06-07,110.760002,109.2764,1
1971-06-08,110.019997,109.3754,1
1971-06-09,109.790001,109.4672,1
1971-06-10,110.059998,109.5596,1
1971-06-11,110.199997,109.6442,1
1971-06-14,109.57,109.7088,0
1971-06-15,109.360001,109.7588,0
1971-06-16,109.440002,109.8042,0
1971-06-17,109.440002,109.8418,0
1971-06-18,108.160004,109.8438,0
1971-06-21,106.5,109.8062,0
1971-06-22,105.489998,109.7386,0
1971-06-23,105.989998,109.6814,0
1971-06-24,106.370003,109.6272,0
1971-06-25,106.559998,109.5646,0
1971-06-28,106.449997,109.4944,0
1971-06-29,107.220001,109.4356,0
1971-06-30,107.800003,109.401,0
1971-07-01,108.470001,109.38,0
1971-07-02,108.769997,109.3556,0
1971-07-06,109.230003,109.3264,0
1971-07-07,110.010002,109.304,1
1971-07-08,110.41999799999999,109.2786,1
1971-07-09,110.910004,109.2494,1
1971-07-12,111.239998,109.225,1
1971-07-13,110.760002,109.1942,1
1971-07-14,110.339996,109.174,1
1971-07-15,110.720001,109.153,1
1971-07-16,109.980003,109.119,1
1971-07-19,109.370003,109.085201,1
1971-07-20,109.790001,109.067801,1
1971-07-21,109.739998,109.0596,1
1971-07-22,109.540001,109.0438,1
1971-07-23,109.629997,109.029,1
1971-07-26,109.349998,109.005,1
1971-07-27,108.57,108.9616,0
1971-07-28,107.449997,108.9276,0
1971-07-29,105.809998,108.8758,0
1971-07-30,105.269997,108.8146,0
1971-08-02,105.589996,108.752,0
1971-08-03,104.410004,108.6632,0
1971-08-04,103.260002,108.56,0
1971-08-05,103.110001,108.4722,0
1971-08-06,103.779999,108.3972,0
1971-08-09,103.18,108.3088,0
1971-08-10,103.040001,108.2046,0
1971-08-11,104.08000200000001,108.1088,0
1971-08-12,105.209999,108.0218,0
1971-08-13,105.440002,107.9262,0
1971-08-16,107.860001,107.8702,0
1971-08-17,108.93,107.8336,1
1971-08-18,108.389999,107.801,1
1971-08-19,108.010002,107.7654,1
1971-08-20,107.889999,107.722,1
1971-08-23,108.260002,107.6832,1
1971-08-24,108.599998,107.6638,1
1971-08-25,108.849998,107.6536,1
1971-08-26,108.970001,107.6442,1
1971-08-27,109.300003,107.6414,1
1971-08-30,108.709999,107.6524,1
1971-08-31,108.41999799999999,107.6908,1
1971-09-01,108.650002,107.754,1
1971-09-02,108.959999,107.8134,1
1971-09-03,109.980003,107.8856,1
1971-09-07,110.529999,107.965,1
1971-09-08,110.58000200000001,108.0476,1
1971-09-09,110.550003,108.1142,1
1971-09-10,110.41999799999999,108.1666,1
1971-09-13,110.220001,108.2016,1
1971-09-14,109.769997,108.2216,1
1971-09-15,109.790001,108.2328,1
1971-09-16,109.779999,108.2282,1
1971-09-17,110.099998,108.2218,1
1971-09-20,109.989998,108.2034,1
1971-09-21,109.82,108.175,1
1971-09-22,108.989998,108.1396,1
1971-09-23,108.800003,108.1088,1
1971-09-24,108.879997,108.072,1
1971-09-27,108.18,108.036,1
1971-09-28,108.379997,108.0162,1
1971-09-29,108.599998,107.9924,1
1971-09-30,109.029999,107.9782,1
1971-10-01,109.58000200000001,107.979,1
1971-10-04,109.959999,107.9856,1
1971-10-05,109.989998,107.9984,1
1971-10-06,110.68,108.0406,1
1971-10-07,110.980003,108.1112,1
1971-10-08,110.739998,108.2098,1
1971-10-11,110.709999,108.3186,1
1971-10-12,110.910004,108.425,1
1971-10-13,110.690002,108.5506,1
1971-10-14,109.870003,108.6828,1
1971-10-15,109.599998,108.8126,1
1971-10-18,109.059998,108.9182,1
1971-10-19,107.989998,109.0144,0
1971-10-20,106.58000200000001,109.0852,0
1971-10-21,106.610001,109.1358,0
1971-10-22,106.800003,109.1676,0
1971-10-25,106.290001,109.1846,0
1971-10-26,105.690002,109.1412,0
1971-10-27,104.279999,109.0482,0
1971-10-28,104.5,108.9704,0
1971-10-29,105.099998,108.9122,0
1971-11-01,103.690002,108.8282,0
1971-11-02,103.540001,108.7338,0
1971-11-03,105.010002,108.662,0
1971-11-04,105.559998,108.5962,0
1971-11-05,105.459999,108.526,0
1971-11-08,105.43,108.4486,0
1971-11-09,105.720001,108.3888,0
1971-11-10,104.860001,108.3176,0
1971-11-11,103.739998,108.2194,0
1971-11-12,103.910004,108.1184,0
1971-11-15,103.440002,107.9876,0
1971-11-16,103.709999,107.8512,0
1971-11-17,103.639999,107.7124,0
1971-11-18,103.440002,107.5702,0
1971-11-19,102.949997,107.4208,0
1971-11-22,101.790001,107.2522,0
1971-11-23,100.309998,107.063,0
1971-11-24,100.400002,106.8752,0
1971-11-26,101.639999,106.7124,0
1971-11-29,103.08000200000001,106.572,0
1971-11-30,103.970001,106.4516,0
1971-12-01,105.0,106.3552,0
1971-12-02,106.150002,106.2984,0
1971-12-03,107.260002,106.2676,1
1971-12-06,106.91999799999999,106.2284,1
1971-12-07,107.260002,106.21,1
1971-12-08,107.709999,106.1966,1
1971-12-09,107.970001,106.184,1
1971-12-10,108.809998,106.1796,1
1971-12-13,109.160004,106.1712,1
1971-12-14,109.07,106.1534,1
1971-12-15,109.449997,106.1426,1
1971-12-16,110.010002,106.1292,1
1971-12-17,110.519997,106.12,1
1971-12-20,111.5,106.1352,1
1971-12-21,111.730003,106.1556,1
1971-12-22,111.970001,106.1768,1
1971-12-23,111.940002,106.2018,1
1971-12-27,111.699997,106.2384,1
1971-12-28,111.93,106.285,1
1971-12-29,112.57,106.3552,1
1971-12-30,112.970001,106.4548,1
1971-12-31,114.120003,106.6056,1
1972-01-03,113.650002,106.7464,1
1972-01-04,113.93,106.889,1
1972-01-05,114.83000200000001,107.0598,1
1972-01-06,115.720001,107.2604,1
1972-01-07,116.050003,107.4958,1
1972-01-10,116.099998,107.7278,1
1972-01-11,116.639999,107.9586,1
1972-01-12,116.900002,108.2228,1
1972-01-13,116.41999799999999,108.4804,1
1972-01-14,116.739998,108.715,1
1972-01-17,116.93,108.9424,1
1972-01-18,117.660004,109.1864,1
1972-01-19,117.449997,109.4268,1
1972-01-20,117.32,109.6588,1
1972-01-21,117.209999,109.9058,1
1972-01-24,116.489998,110.1608,1
1972-01-25,116.300003,110.4086,1
1972-01-26,116.389999,110.6676,1
1972-01-27,117.370003,110.9408,1
1972-01-28,118.440002,111.2368,1
1972-01-31,118.870003,111.5454,1
1972-02-01,119.58000200000001,111.878001,1
1972-02-02,120.470001,112.251601,1
1972-02-03,120.660004,112.658601,1
1972-02-04,121.239998,113.075401,1
1972-02-07,121.139999,113.465401,1
1972-02-08,121.349998,113.8308,1
1972-02-09,122.160004,114.194601,1
1972-02-10,122.709999,114.548801,1
1972-02-11,122.860001,114.883,1
1972-02-14,122.260002,115.183,1
1972-02-15,122.610001,115.496801,1
1972-02-16,123.349998,115.8186,1
1972-02-17,123.440002,116.133201,1
1972-02-18,123.400002,116.441801,1
1972-02-22,123.300003,116.731601,1
1972-02-23,123.610001,117.020601,1
1972-02-24,124.0,117.319201,1
